School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
1,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,TAPLEJUNG,16.2,51.5,21.8,25.5,30.8,33.1,60,60,0,2,7,0,9,51,15,-13.32
2,1002,BHANUJAN MA VI AMBITAR,TAPLEJUNG,17.3,46.5,25.3,23.5,38.2,39.2,116,115,0,5,16,0,21,94,18.3,-9.94
3,1003,MOTI MA VI KHOKLING,TAPLEJUNG,16.2,48.5,34.2,31,30.4,42.4,30,30,0,0,2,0,2,28,6.7,-19.93
4,1004,SINAM MA VI SINAM,TAPLEJUNG,28.7,41.6,41.2,36.9,41.4,48.2,76,75,0,12,46,0,58,17,77.3,30.63
5,1005,GANESH MA VI KHEWANG,TAPLEJUNG,23.3,44.1,31.7,28,43.6,35,27,27,0,2,7,0,9,18,33.3,-1.06
6,1006,THECHAMBU MA VI THECHAMBU,TAPLEJUNG,13.3,39.7,36.6,27.8,38.8,33.1,43,43,0,2,3,0,5,38,11.6,-15.75
7,1007,MAIWAKHOLA MA VI TEMBE,TAPLEJUNG,15,37.8,24.3,28.5,37.4,34,62,62,0,2,6,0,8,54,12.9,-14.71
8,1008,PRITHVI MA VI KHAMLUNG,TAPLEJUNG,21.7,47.4,44.5,35,32.9,39.5,15,15,0,0,7,1,8,7,53.3,10.56
9,1009,BHANJYANG MA VI LIMBUDIN,TAPLEJUNG,23.7,38.1,39.1,35.1,35.9,43.3,89,88,0,8,34,1,43,45,48.9,10.67
10,1010,NARAYANI MA VI SANGHU,TAPLEJUNG,12.9,34.1,23.5,27.7,34.9,34.2,35,35,0,0,3,0,3,32,8.6,-18.55
11,1011,DURGA MA VI PHULBARI,TAPLEJUNG,21.8,47.9,40.3,29.4,33.7,36.7,27,27,0,1,7,2,10,17,37,0.17
12,1012,SARASWATI MA VI HANGPANG,TAPLEJUNG,23.3,41.6,32.4,28.5,38.2,36.2,31,31,0,0,11,4,15,16,48.4,6.85
13,1013,JANATA MA VI HANGDEWA,TAPLEJUNG,17.8,43.8,30.6,23.5,29.8,35.6,52,52,0,2,10,0,12,40,23.1,-7.95
14,1014,SARASWATI MA VI LELEP,TAPLEJUNG,26.6,54,37.1,32.1,35.3,40.3,14,14,0,2,5,1,8,6,57.1,14.85
15,1015,SARASWATI MA VI SIKAICHA,TAPLEJUNG,15.2,38.1,32.3,25.6,32.3,31.2,32,32,0,2,1,2,5,27,15.6,-13.74
16,1016,SANWA MA VI SANWA MEWAKHOLA,TAPLEJUNG,20.8,46.5,34.3,34.7,32.6,35.9,28,28,0,2,11,0,13,15,46.4,7.76
17,1017,TELLOK MA VI TELLOK,TAPLEJUNG,19.4,39,37.9,27.4,43,37.5,32,32,0,1,9,0,10,22,31.3,-2.91
18,1018,NILGIRI MA VI MEHELE,TAPLEJUNG,15.6,43.6,29.9,26.8,30.7,34.2,40,40,0,1,4,0,5,35,12.5,-15.49
19,1019,KALIKA MA VI NANGKHOLYANG,TAPLEJUNG,14.5,41.7,40.8,25.1,37.6,34.5,55,55,0,3,6,0,9,46,16.4,-12.23
20,1020,NAVA JYOTI AWASIYA MA VI PHUNGLING,TAPLEJUNG,22.2,43.3,39.8,24.9,31,34.5,67,67,0,1,22,1,24,43,35.8,0.48
21,1021,SINWA MA VI LINGSIM SINWA,TAPLEJUNG,24.4,52.6,43.3,37.5,39.6,42.5,20,20,0,3,8,1,12,8,60,17.21
22,1022,MAHENDRA MA VI PHAKUMVA MAIWAKHOLA,TAPLEJUNG,13.8,35.4,22.2,24.4,35.2,32.7,30,30,0,0,3,1,4,26,13.3,-15.79
23,1023,CHAKSIBOTE MA VI CHAKSIBOTE,TAPLEJUNG,15.6,37.9,35.1,31.1,37.4,33.7,16,16,0,0,4,1,5,11,31.3,-4.28
24,1024,CHANGE MA VI CHANGE,TAPLEJUNG,18.2,38.8,22.9,27.1,30.4,31.5,75,75,0,1,13,3,17,58,22.7,-8.54
25,1025,KALIKA MA VI TIRINGA,TAPLEJUNG,14.4,41,30,28.7,40.5,33.5,28,28,0,0,2,0,2,26,7.1,-19.65
26,1026,SHARADA MA VI THUMBEDIN,TAPLEJUNG,21.4,35.8,41.6,29.4,37.5,45,33,33,0,2,11,3,16,17,48.5,8.13
27,1027,AMBEGUDIN MA VI RAJA,TAPLEJUNG,21.5,37.1,39,31.8,38.4,43.8,32,32,0,0,13,0,13,19,40.6,3.03
28,1028,TRIBHUVAN MA VI MEWAKHOLA THUKIYA,TAPLEJUNG,21.9,48,39.9,32.5,31.6,41.4,36,36,0,0,10,2,12,24,33.3,-2.42
29,1029,BIRENDRA MA VI PHUNGLING-1 DEVLING,TAPLEJUNG,19.8,52.8,32.4,28.7,34,43,26,26,0,1,8,0,9,17,34.6,-0.66
30,1030,KANCHANJUNGHA BOARDING SCHOOL PHUNGLING,TAPLEJUNG,44.8,52.8,74.8,45,54.6,49.5,30,30,0,26,4,0,30,0,100,53.9
31,1031,PARAM SINGHA DEVI MA VI NIGURADIN,TAPLEJUNG,16.7,35.6,35.6,31.8,33.7,38.3,32,32,0,0,7,0,7,25,21.9,-9.63
32,1032,MECHI ST. MARY'S ENGLISH BOARDING SCHOOL PHUNGLING-7,TAPLEJUNG,47.5,60.7,61.2,36.5,45.5,45.7,6,6,0,3,3,0,6,0,100,48.86
33,1033,SIDDHAKALI MA VI DOKHU-5,TAPLEJUNG,18,48,26,24.3,30.5,40.5,42,42,0,0,7,0,7,35,16.7,-12.95
34,1034,MAYAM MA VI FURUMBU-5,TAPLEJUNG,20.4,47.1,37.8,33.9,32.9,37.9,35,35,0,0,9,4,13,22,37.1,-0.5
35,1035,GUPTESHWAR MA VI PHULBARI,TAPLEJUNG,15.7,42.6,32.5,33.6,30.8,36,20,20,0,0,1,0,1,19,5,-21.24
36,1036,OXFORD MODEL ENGLISH BOARDING SCHOOL PHUNGLING,TAPLEJUNG,43.1,62.5,66.6,38,50.5,49.8,8,8,0,5,3,0,8,0,100,50.46
37,2000,PRIVATE PANCHTHAR,PANCHTHAR,21.8,36.2,21.2,20.8,29.6,39.8,97,92,0,1,7,8,16,76,17.4,-12.32
38,2001,PHIDIM MA VI PHIDIM,PANCHTHAR,23.5,45.3,39.1,29.1,37.3,42.7,104,103,0,13,29,1,43,60,41.7,6.61
39,2002,AMARPUR MA VI DORAMBA AMARPUR,PANCHTHAR,24.9,37.4,37.7,25.9,33.3,40.2,116,116,0,2,33,21,56,60,48.3,8.05
40,2003,BISHNU MA VI CHYANGTHAPU,PANCHTHAR,28.1,40.5,40.1,26.7,53,39.3,22,22,0,2,13,0,15,7,68.2,22.58
41,2004,KHALANGATAR MA VI YANGNAM,PANCHTHAR,27.3,43.4,37.2,27.3,30.5,29.2,17,17,0,1,3,4,8,9,47.1,5.27
42,2005,SIDDHA DEVI MA VI NAWAMIDADA,PANCHTHAR,24.5,36.5,35.5,25.4,33.8,38.1,173,173,0,6,42,31,79,94,45.7,7.61
43,2006,SIDDHAKALI MA VI EAKTIN JORPATI,PANCHTHAR,18.6,43.4,24.8,25.7,34.1,34.1,46,46,0,1,10,0,11,35,23.9,-7.71
44,2007,NAYA NAMUNA MA VI PHIDIM BAZAR,PANCHTHAR,33.5,52.1,55,35.2,46.5,51.8,86,86,1,34,26,1,62,24,72.1,30.45
45,2008,SIDDHA DEVI MA VI NANGIN PIPALBOTE,PANCHTHAR,21.5,41.8,25.7,26.8,32.7,44.2,79,79,0,3,13,1,17,62,21.5,-8.63
46,2009,SIDDHESWORI MA VI BHARPA TUWA,PANCHTHAR,18.8,37.3,26.1,25.8,31.6,32.9,78,77,0,0,18,1,19,58,24.7,-7.02
47,2010,GUPTESHWOR MA VI OYAM,PANCHTHAR,24.2,37.3,37.4,27.8,40.3,37.1,42,42,0,1,17,2,20,22,47.6,7.72
48,2011,JAY NARAYAN ADARSHA MA VI MEHELBOTE,PANCHTHAR,19.7,34.5,33.8,25.4,32,35.4,64,63,0,0,18,2,20,43,31.7,-2.72
